"stationId","availableBikes","availableDocks","t"
"98","11","39","2021-10-17 10:50:01"
"99","1","15","2021-10-17 10:50:01"
"100","9","14","2021-10-17 10:50:01"
"101","5","15","2021-10-17 10:50:01"
"102","2","13","2021-10-17 10:50:01"
"103","9","9","2021-10-17 10:50:01"
"104","5","28","2021-10-17 10:50:01"
"105","3","22","2021-10-17 10:50:01"
"106","1","20","2021-10-17 10:50:01"
"107","15","2","2021-10-17 10:50:01"
"108","8","20","2021-10-17 10:50:01"
"109","0","55","2021-10-17 10:50:01"
"110","15","1","2021-10-17 10:50:01"
"111","24","3","2021-10-17 10:50:01"
"112","0","20","2021-10-17 10:50:01"
"113","7","12","2021-10-17 10:50:01"
"114","14","5","2021-10-17 10:50:01"
"115","6","28","2021-10-17 10:50:01"
"116","6","15","2021-10-17 10:50:01"
"117","4","21","2021-10-17 10:50:01"
"118","8","5","2021-10-17 10:50:01"
"119","16","2","2021-10-17 10:50:01"
"120","0","17","2021-10-17 10:50:01"
"121","2","20","2021-10-17 10:50:01"
"122","1","21","2021-10-17 10:50:01"
"123","14","3","2021-10-17 10:50:01"
"124","2","18","2021-10-17 10:50:01"
"125","11","10","2021-10-17 10:50:01"
"126","5","47","2021-10-17 10:50:01"
"127","0","17","2021-10-17 10:50:01"
"128","3","19","2021-10-17 10:50:01"
"129","6","12","2021-10-17 10:50:01"
"130","7","15","2021-10-17 10:50:01"
"131","6","10","2021-10-17 10:50:01"
"132","12","25","2021-10-17 10:50:01"
"133","18","0","2021-10-17 10:50:01"
"134","10","10","2021-10-17 10:50:01"
"135","16","2","2021-10-17 10:50:01"
"136","11","21","2021-10-17 10:50:01"
"138","1","18","2021-10-17 10:50:01"
"139","5","12","2021-10-17 10:50:01"
"140","10","23","2021-10-17 10:50:01"
"141","0","28","2021-10-17 10:50:01"
"142","7","17","2021-10-17 10:50:01"
"143","5","19","2021-10-17 10:50:01"
"144","29","17","2021-10-17 10:50:01"
"145","3","21","2021-10-17 10:50:01"
"146","3","32","2021-10-17 10:50:01"
"148","14","2","2021-10-17 10:50:01"
"149","13","5","2021-10-17 10:50:01"
"150","5","23","2021-10-17 10:50:01"
"151","19","6","2021-10-17 10:50:01"
"152","15","6","2021-10-17 10:50:01"
"153","6","20","2021-10-17 10:50:01"
"154","4","31","2021-10-17 10:50:01"
"155","1","18","2021-10-17 10:50:01"
"156","12","21","2021-10-17 10:50:01"
"157","26","9","2021-10-17 10:50:01"
"158","13","5","2021-10-17 10:50:01"
"160","0","20","2021-10-17 10:50:01"
"161","15","0","2021-10-17 10:50:01"
"162","8","10","2021-10-17 10:50:01"
"163","5","20","2021-10-17 10:50:01"
"164","0","15","2021-10-17 10:50:01"
"165","4","11","2021-10-17 10:50:01"
"166","4","22","2021-10-17 10:50:01"
"167","17","1","2021-10-17 10:50:01"
"168","1","18","2021-10-17 10:50:01"
"169","4","14","2021-10-17 10:50:01"
"170","15","14","2021-10-17 10:50:01"
"171","9","5","2021-10-17 10:50:01"
"172","3","16","2021-10-17 10:50:01"
"173","10","4","2021-10-17 10:50:01"
"175","20","31","2021-10-17 10:50:01"
"176","0","22","2021-10-17 10:50:01"
"177","12","12","2021-10-17 10:50:01"
"178","11","8","2021-10-17 10:50:01"
"180","4","12","2021-10-17 10:50:01"
"181","8","11","2021-10-17 10:50:01"
"182","10","8","2021-10-17 10:50:01"
"183","8","14","2021-10-17 10:50:01"
"184","2","32","2021-10-17 10:50:01"
"185","3","9","2021-10-17 10:50:01"
"186","5","11","2021-10-17 10:50:01"
"187","0","25","2021-10-17 10:50:01"
"188","1","17","2021-10-17 10:50:01"
"189","6","12","2021-10-17 10:50:01"
"190","12","9","2021-10-17 10:50:01"
"191","9","24","2021-10-17 10:50:01"
"192","0","16","2021-10-17 10:50:01"
"193","15","45","2021-10-17 10:50:01"
"194","47","8","2021-10-17 10:50:01"
"195","6","22","2021-10-17 10:50:01"
"196","1","16","2021-10-17 10:50:01"
"197","21","6","2021-10-17 10:50:01"
"199","9","15","2021-10-17 10:50:01"
"200","1","13","2021-10-17 10:50:01"
"201","7","9","2021-10-17 10:50:01"
"202","7","28","2021-10-17 10:50:01"
"203","4","11","2021-10-17 10:50:01"
"204","0","18","2021-10-17 10:50:01"
"206","19","17","2021-10-17 10:50:01"
"207","9","8","2021-10-17 10:50:01"
"208","3","17","2021-10-17 10:50:01"
"209","9","20","2021-10-17 10:50:01"
"210","8","13","2021-10-17 10:50:01"
"211","21","12","2021-10-17 10:50:01"
"212","1","16","2021-10-17 10:50:01"
"213","0","36","2021-10-17 10:50:01"
"214","0","31","2021-10-17 10:50:01"
"215","5","49","2021-10-17 10:50:01"
"216","2","27","2021-10-17 10:50:01"
"217","2","14","2021-10-17 10:50:01"
"218","5","13","2021-10-17 10:50:01"
"219","1","27","2021-10-17 10:50:01"
"220","3","24","2021-10-17 10:50:01"
"221","15","1","2021-10-17 10:50:01"
"222","11","32","2021-10-17 10:50:01"
"223","13","11","2021-10-17 10:50:01"
"224","12","5","2021-10-17 10:50:01"
"225","13","17","2021-10-17 10:50:01"
"226","1","23","2021-10-17 10:50:01"
"227","7","15","2021-10-17 10:50:01"
"228","9","29","2021-10-17 10:50:01"
"229","3","41","2021-10-17 10:50:01"
"230","10","21","2021-10-17 10:50:01"
"231","2","29","2021-10-17 10:50:01"
"232","0","16","2021-10-17 10:50:01"
"233","1","19","2021-10-17 10:50:01"
"234","10","13","2021-10-17 10:50:01"
"235","6","30","2021-10-17 10:50:01"
"237","15","14","2021-10-17 10:50:01"
"238","5","25","2021-10-17 10:50:01"
"239","10","15","2021-10-17 10:50:01"
"240","14","0","2021-10-17 10:50:01"
"242","1","21","2021-10-17 10:50:01"
"243","20","4","2021-10-17 10:50:01"
"244","1","17","2021-10-17 10:50:01"
"245","15","14","2021-10-17 10:50:01"
"246","6","34","2021-10-17 10:50:01"
"247","9","40","2021-10-17 10:50:01"
"248","16","8","2021-10-17 10:50:01"
"249","29","13","2021-10-17 10:50:01"
"250","2","8","2021-10-17 10:50:01"
"251","7","27","2021-10-17 10:50:01"
"252","6","23","2021-10-17 10:50:01"
"253","10","19","2021-10-17 10:50:01"
"254","0","18","2021-10-17 10:50:01"
"255","15","7","2021-10-17 10:50:01"
"257","4","9","2021-10-17 10:50:01"
"258","9","14","2021-10-17 10:50:01"
"259","12","3","2021-10-17 10:50:01"
"260","1","16","2021-10-17 10:50:01"
"261","6","9","2021-10-17 10:50:01"
"262","10","25","2021-10-17 10:50:01"
"263","21","0","2021-10-17 10:50:01"
"264","3","17","2021-10-17 10:50:01"
"265","5","12","2021-10-17 10:50:01"
"266","2","38","2021-10-17 10:50:01"
"267","1","20","2021-10-17 10:50:01"
"268","29","0","2021-10-17 10:50:01"
"269","42","4","2021-10-17 10:50:01"
"270","22","7","2021-10-17 10:50:01"
"271","17","15","2021-10-17 10:50:01"
"272","22","0","2021-10-17 10:50:01"
"273","25","13","2021-10-17 10:50:01"
"274","15","20","2021-10-17 10:50:01"
"275","2","16","2021-10-17 10:50:01"
"276","1","23","2021-10-17 10:50:01"
"277","14","3","2021-10-17 10:50:01"
"278","8","16","2021-10-17 10:50:01"
"279","12","12","2021-10-17 10:50:01"
"280","7","3","2021-10-17 10:50:01"
"281","6","10","2021-10-17 10:50:01"
"282","25","15","2021-10-17 10:50:01"
"283","2","14","2021-10-17 10:50:01"
"284","15","0","2021-10-17 10:50:01"
"286","2","33","2021-10-17 10:50:01"
"287","2","21","2021-10-17 10:50:01"
"288","33","0","2021-10-17 10:50:01"
"289","1","14","2021-10-17 10:50:01"
"290","16","4","2021-10-17 10:50:01"
"291","25","7","2021-10-17 10:50:01"
"292","6","10","2021-10-17 10:50:01"
"293","15","10","2021-10-17 10:50:01"
"294","9","7","2021-10-17 10:50:01"
"295","27","0","2021-10-17 10:50:01"
"296","4","14","2021-10-17 10:50:01"
"297","10","7","2021-10-17 10:50:01"
"298","9","12","2021-10-17 10:50:01"
"299","7","12","2021-10-17 10:50:01"
"300","7","11","2021-10-17 10:50:01"
"301","0","24","2021-10-17 10:50:01"
"302","9","18","2021-10-17 10:50:01"
"303","15","18","2021-10-17 10:50:01"
"307","12","10","2021-10-17 10:50:01"
"308","17","3","2021-10-17 10:50:01"
"309","29","12","2021-10-17 10:50:01"
"310","4","15","2021-10-17 10:50:01"
"311","3","21","2021-10-17 10:50:01"
"312","6","12","2021-10-17 10:50:01"
"313","6","32","2021-10-17 10:50:01"
"314","35","0","2021-10-17 10:50:01"
"315","9","7","2021-10-17 10:50:01"
"316","16","5","2021-10-17 10:50:01"
"317","19","12","2021-10-17 10:50:01"
"318","5","13","2021-10-17 10:50:01"
"319","1","20","2021-10-17 10:50:01"
"320","25","1","2021-10-17 10:50:01"
"321","14","10","2021-10-17 10:50:01"
"322","8","18","2021-10-17 10:50:01"
"323","7","17","2021-10-17 10:50:01"
"324","14","1","2021-10-17 10:50:01"
"325","3","15","2021-10-17 10:50:01"
"326","11","15","2021-10-17 10:50:01"
"327","10","12","2021-10-17 10:50:01"
"328","10","12","2021-10-17 10:50:01"
"329","15","9","2021-10-17 10:50:01"
"330","5","29","2021-10-17 10:50:01"
"331","5","25","2021-10-17 10:50:01"
"332","10","10","2021-10-17 10:50:01"
"333","5","32","2021-10-17 10:50:01"
"334","7","3","2021-10-17 10:50:01"
"335","6","26","2021-10-17 10:50:01"
"336","17","1","2021-10-17 10:50:01"
"337","0","16","2021-10-17 10:50:01"
"338","6","15","2021-10-17 10:50:01"
"339","9","10","2021-10-17 10:50:01"
"340","14","2","2021-10-17 10:50:01"
"341","0","22","2021-10-17 10:50:01"
"343","6","30","2021-10-17 10:50:01"
"344","1","16","2021-10-17 10:50:01"
"345","7","25","2021-10-17 10:50:01"
"347","12","5","2021-10-17 10:50:01"
"348","2","15","2021-10-17 10:50:01"
"349","1","17","2021-10-17 10:50:01"
"350","6","13","2021-10-17 10:50:01"
"351","5","20","2021-10-17 10:50:01"
"352","19","0","2021-10-17 10:50:01"
"353","5","12","2021-10-17 10:50:01"
"354","1","35","2021-10-17 10:50:01"
"355","15","6","2021-10-17 10:50:01"
"356","8","6","2021-10-17 10:50:01"
"357","0","30","2021-10-17 10:50:01"
"358","5","15","2021-10-17 10:50:01"
"359","2","16","2021-10-17 10:50:01"
"360","20","7","2021-10-17 10:50:01"
"361","42","13","2021-10-17 10:50:01"
"362","5","52","2021-10-17 10:50:01"
"363","7","15","2021-10-17 10:50:01"
"364","1","30","2021-10-17 10:50:01"
"365","1","46","2021-10-17 10:50:01"
"366","0","27","2021-10-17 10:50:01"
"367","0","16","2021-10-17 10:50:01"
"368","4","20","2021-10-17 10:50:01"
"370","2","18","2021-10-17 10:50:01"
"371","11","11","2021-10-17 10:50:01"
"372","3","21","2021-10-17 10:50:01"
"373","4","14","2021-10-17 10:50:01"
"374","33","1","2021-10-17 10:50:01"
"375","8","9","2021-10-17 10:50:01"
"376","6","18","2021-10-17 10:50:01"
"377","3","12","2021-10-17 10:50:01"
"378","3","37","2021-10-17 10:50:01"
"379","13","7","2021-10-17 10:50:01"
"380","5","16","2021-10-17 10:50:01"
"381","0","14","2021-10-17 10:50:01"
"382","3","11","2021-10-17 10:50:01"
"383","3","15","2021-10-17 10:50:01"
"384","2","13","2021-10-17 10:50:01"
"386","6","10","2021-10-17 10:50:01"
"387","1","28","2021-10-17 10:50:01"
"388","4","10","2021-10-17 10:50:01"
"389","1","17","2021-10-17 10:50:01"
"390","3","38","2021-10-17 10:50:01"
"391","0","17","2021-10-17 10:50:01"
"392","8","13","2021-10-17 10:50:01"
"393","0","15","2021-10-17 10:50:01"
"394","7","11","2021-10-17 10:50:01"
"395","8","6","2021-10-17 10:50:01"
"396","0","16","2021-10-17 10:50:01"
"397","7","9","2021-10-17 10:50:01"
"398","6","24","2021-10-17 10:50:01"
"399","6","17","2021-10-17 10:50:01"
"400","6","20","2021-10-17 10:50:01"
"401","19","5","2021-10-17 10:50:01"
"402","1","13","2021-10-17 10:50:01"
"403","2","14","2021-10-17 10:50:01"
"404","3","9","2021-10-17 10:50:01"
"405","7","8","2021-10-17 10:50:01"
"409","38","3","2021-10-17 10:50:01"
"410","2","62","2021-10-17 10:50:01"
"411","16","3","2021-10-17 10:50:01"
"412","8","7","2021-10-17 10:50:01"
"419","1","14","2021-10-17 10:50:01"
"420","35","2","2021-10-17 10:50:01"
"421","3","42","2021-10-17 10:50:01"
"423","31","0","2021-10-17 10:50:01"
"424","17","12","2021-10-17 10:50:01"
"426","2","15","2021-10-17 10:50:01"
"427","2","41","2021-10-17 10:50:01"
"428","18","2","2021-10-17 10:50:01"
"430","1","16","2021-10-17 10:50:01"
"431","17","3","2021-10-17 10:50:01"
"432","5","6","2021-10-17 10:50:01"
"433","6","26","2021-10-17 10:50:01"
"435","9","14","2021-10-17 10:50:01"
"436","22","14","2021-10-17 10:50:01"
"437","22","5","2021-10-17 10:50:01"
"439","4","18","2021-10-17 10:50:01"
"440","17","13","2021-10-17 10:50:01"
"441","1","22","2021-10-17 10:50:01"
"442","12","12","2021-10-17 10:50:01"
"443","19","10","2021-10-17 10:50:01"
"444","6","17","2021-10-17 10:50:01"
"445","15","11","2021-10-17 10:50:01"
"446","24","3","2021-10-17 10:50:01"
"447","12","41","2021-10-17 10:50:01"
"448","20","16","2021-10-17 10:50:01"
"449","28","7","2021-10-17 10:50:01"
"450","14","14","2021-10-17 10:50:01"
"451","8","8","2021-10-17 10:50:01"
"452","0","24","2021-10-17 10:50:01"
"453","21","3","2021-10-17 10:50:01"
"454","11","9","2021-10-17 10:50:01"
"455","14","2","2021-10-17 10:50:01"
"456","29","3","2021-10-17 10:50:01"
"457","23","5","2021-10-17 10:50:01"
"458","26","1","2021-10-17 10:50:01"
"459","12","5","2021-10-17 10:50:01"
"460","29","4","2021-10-17 10:50:01"
"461","23","3","2021-10-17 10:50:01"
"462","19","26","2021-10-17 10:50:01"
"463","5","17","2021-10-17 10:50:01"
"464","18","7","2021-10-17 10:50:01"
"465","3","24","2021-10-17 10:50:01"
"466","7","14","2021-10-17 10:50:01"
"467","3","13","2021-10-17 10:50:01"
"468","0","24","2021-10-17 10:50:01"
"469","37","7","2021-10-17 10:50:01"
"470","1","45","2021-10-17 10:50:01"
"471","12","7","2021-10-17 10:50:01"
"472","0","21","2021-10-17 10:50:01"
"473","17","0","2021-10-17 10:50:01"
"474","10","9","2021-10-17 10:50:01"
"475","14","17","2021-10-17 10:50:01"
"476","21","6","2021-10-17 10:50:01"
"477","24","11","2021-10-17 10:50:01"
"478","16","5","2021-10-17 10:50:01"
"479","1","19","2021-10-17 10:50:01"
"480","18","7","2021-10-17 10:50:01"
"481","16","18","2021-10-17 10:50:01"
"482","3","10","2021-10-17 10:50:01"
"483","30","2","2021-10-17 10:50:01"
"484","10","14","2021-10-17 10:50:01"
"485","5","18","2021-10-17 10:50:01"
"486","7","29","2021-10-17 10:50:01"
"487","13","10","2021-10-17 10:50:01"
"488","15","7","2021-10-17 10:50:01"
"489","16","16","2021-10-17 10:50:01"
"490","19","26","2021-10-17 10:50:01"
"491","15","28","2021-10-17 10:50:01"
"492","7","31","2021-10-17 10:50:01"
"494","31","4","2021-10-17 10:50:01"
"495","19","20","2021-10-17 10:50:01"
"497","15","12","2021-10-17 10:50:01"
"498","30","11","2021-10-17 10:50:01"
"499","15","21","2021-10-17 10:50:01"
"500","15","26","2021-10-17 10:50:01"
"501","18","6","2021-10-17 10:50:01"
"502","8","13","2021-10-17 10:50:01"
"503","25","11","2021-10-17 10:50:01"
"504","15","14","2021-10-17 10:50:01"
"505","0","29","2021-10-17 10:50:01"
"506","2","21","2021-10-17 10:50:01"
"507","5","26","2021-10-17 10:50:01"
"508","8","10","2021-10-17 10:50:01"
"509","0","19","2021-10-17 10:50:01"
"510","24","17","2021-10-17 10:50:01"
"511","28","5","2021-10-17 10:50:01"
"512","13","17","2021-10-17 10:50:01"
"513","10","41","2021-10-17 10:50:01"
"514","2","15","2021-10-17 10:50:01"
"515","2","22","2021-10-17 10:50:01"
"516","18","0","2021-10-17 10:50:01"
"517","4","13","2021-10-17 10:50:01"
"518","5","25","2021-10-17 10:50:01"
"519","15","18","2021-10-17 10:50:01"
"520","9","12","2021-10-17 10:50:01"
"521","14","5","2021-10-17 10:50:01"
"522","22","14","2021-10-17 10:50:01"
"523","24","0","2021-10-17 10:50:01"
"524","0","37","2021-10-17 10:50:01"
"526","13","13","2021-10-17 10:50:01"
"527","20","0","2021-10-17 10:50:01"
"528","4","12","2021-10-17 10:50:01"
"529","12","5","2021-10-17 10:50:01"
"530","18","0","2021-10-17 10:50:01"
"531","15","6","2021-10-17 10:50:01"
"532","7","55","2021-10-17 10:50:01"
"533","18","11","2021-10-17 10:50:01"
"534","24","3","2021-10-17 10:50:01"
"535","11","13","2021-10-17 10:50:01"
"536","20","15","2021-10-17 10:50:01"
"537","13","4","2021-10-17 10:50:01"
"538","20","0","2021-10-17 10:50:01"
"539","16","5","2021-10-17 10:50:01"
"540","18","4","2021-10-17 10:50:01"
"541","2","25","2021-10-17 10:50:01"
"542","31","1","2021-10-17 10:50:01"
"543","1","20","2021-10-17 10:50:01"
"544","2","19","2021-10-17 10:50:01"
"545","7","17","2021-10-17 10:50:01"
"546","1","20","2021-10-17 10:50:01"
"547","30","20","2021-10-17 10:50:01"
"548","25","1","2021-10-17 10:50:01"
"549","28","16","2021-10-17 10:50:01"
"550","5","18","2021-10-17 10:50:01"
"551","29","9","2021-10-17 10:50:01"
"552","5","22","2021-10-17 10:50:01"
"553","20","4","2021-10-17 10:50:01"
"554","15","1","2021-10-17 10:50:01"
"556","16","11","2021-10-17 10:50:01"
"557","2","18","2021-10-17 10:50:01"
"558","12","11","2021-10-17 10:50:01"
"559","0","24","2021-10-17 10:50:01"
"560","9","12","2021-10-17 10:50:01"
"561","21","1","2021-10-17 10:50:01"
"562","2","19","2021-10-17 10:50:01"
"563","16","9","2021-10-17 10:50:01"
"564","1","37","2021-10-17 10:50:01"
"565","8","8","2021-10-17 10:50:01"
"566","35","7","2021-10-17 10:50:01"
"568","6","12","2021-10-17 10:50:01"
"569","10","20","2021-10-17 10:50:01"
"570","20","16","2021-10-17 10:50:01"
"571","21","7","2021-10-17 10:50:01"
"572","11","23","2021-10-17 10:50:01"
"573","17","1","2021-10-17 10:50:01"
"574","15","30","2021-10-17 10:50:01"
"576","9","13","2021-10-17 10:50:01"
"577","18","2","2021-10-17 10:50:01"
"578","1","31","2021-10-17 10:50:01"
"579","0","36","2021-10-17 10:50:01"
"580","16","19","2021-10-17 10:50:01"
"581","4","12","2021-10-17 10:50:01"
"583","20","0","2021-10-17 10:50:01"
"584","5","14","2021-10-17 10:50:01"
"586","20","11","2021-10-17 10:50:01"
"587","3","17","2021-10-17 10:50:01"
"588","1","26","2021-10-17 10:50:01"
"589","1","17","2021-10-17 10:50:01"
"590","2","24","2021-10-17 10:50:01"
"592","1","19","2021-10-17 10:50:01"
"593","21","0","2021-10-17 10:50:01"
"594","2","31","2021-10-17 10:50:01"
"595","18","4","2021-10-17 10:50:01"
"596","16","3","2021-10-17 10:50:01"
"597","8","19","2021-10-17 10:50:01"
"598","13","23","2021-10-17 10:50:01"
"599","10","16","2021-10-17 10:50:01"
"600","17","4","2021-10-17 10:50:01"
"601","13","21","2021-10-17 10:50:01"
"602","20","23","2021-10-17 10:50:01"
"603","26","17","2021-10-17 10:50:01"
"604","2","16","2021-10-17 10:50:01"
"605","15","13","2021-10-17 10:50:01"
"606","2","24","2021-10-17 10:50:01"
"607","10","9","2021-10-17 10:50:01"
"608","13","17","2021-10-17 10:50:01"
"609","0","19","2021-10-17 10:50:01"
"610","2","14","2021-10-17 10:50:01"
"611","1","19","2021-10-17 10:50:01"
"612","16","12","2021-10-17 10:50:01"
"613","23","0","2021-10-17 10:50:01"
"614","20","1","2021-10-17 10:50:01"
"615","1","22","2021-10-17 10:50:01"
"616","17","5","2021-10-17 10:50:01"
"617","10","11","2021-10-17 10:50:01"
"618","23","1","2021-10-17 10:50:01"
"619","30","12","2021-10-17 10:50:01"
"620","7","20","2021-10-17 10:50:01"
"621","24","7","2021-10-17 10:50:01"
"622","7","22","2021-10-17 10:50:01"
"623","6","15","2021-10-17 10:50:01"
"624","38","0","2021-10-17 10:50:01"
"625","6","22","2021-10-17 10:50:01"
"626","4","19","2021-10-17 10:50:01"
"627","7","13","2021-10-17 10:50:01"
"628","3","23","2021-10-17 10:50:01"
"629","19","9","2021-10-17 10:50:01"
"630","23","5","2021-10-17 10:50:01"
"631","13","12","2021-10-17 10:50:01"
"632","11","17","2021-10-17 10:50:01"
"633","11","20","2021-10-17 10:50:01"
"634","29","4","2021-10-17 10:50:01"
"635","11","23","2021-10-17 10:50:01"
"636","17","10","2021-10-17 10:50:01"
"637","10","13","2021-10-17 10:50:01"
"638","16","12","2021-10-17 10:50:01"
"639","11","15","2021-10-17 10:50:01"
"640","3","24","2021-10-17 10:50:01"
"641","19","4","2021-10-17 10:50:01"
"642","10","25","2021-10-17 10:50:01"
"643","10","12","2021-10-17 10:50:01"
"644","8","28","2021-10-17 10:50:01"
"645","18","3","2021-10-17 10:50:01"
"646","10","6","2021-10-17 10:50:01"
"647","25","1","2021-10-17 10:50:01"
"648","4","26","2021-10-17 10:50:01"
"649","5","17","2021-10-17 10:50:01"
"650","17","4","2021-10-17 10:50:01"
"651","20","5","2021-10-17 10:50:01"
"652","21","8","2021-10-17 10:50:01"
"653","21","3","2021-10-17 10:50:01"
"654","14","19","2021-10-17 10:50:01"
"655","0","25","2021-10-17 10:50:01"
"656","23","5","2021-10-17 10:50:01"
"657","6","15","2021-10-17 10:50:01"
"658","13","16","2021-10-17 10:50:01"
"659","2","32","2021-10-17 10:50:01"
"660","3","19","2021-10-17 10:50:01"
"661","18","18","2021-10-17 10:50:01"
"662","7","17","2021-10-17 10:50:01"
"663","10","14","2021-10-17 10:50:01"
"664","1","22","2021-10-17 10:50:01"
"665","20","2","2021-10-17 10:50:01"
"667","12","22","2021-10-17 10:50:01"
"668","24","1","2021-10-17 10:50:01"
"669","36","2","2021-10-17 10:50:01"
"670","20","8","2021-10-17 10:50:01"
"671","8","47","2021-10-17 10:50:01"
"673","10","26","2021-10-17 10:50:01"
"674","14","26","2021-10-17 10:50:01"
"675","10","20","2021-10-17 10:50:01"
"676","20","14","2021-10-17 10:50:01"
"677","12","15","2021-10-17 10:50:01"
"678","13","17","2021-10-17 10:50:01"
"679","2","24","2021-10-17 10:50:01"
"680","5","23","2021-10-17 10:50:01"
"681","4","42","2021-10-17 10:50:01"
"682","33","11","2021-10-17 10:50:01"
"683","1","27","2021-10-17 10:50:01"
"684","8","24","2021-10-17 10:50:01"
"685","10","19","2021-10-17 10:50:01"
"686","0","26","2021-10-17 10:50:01"
"688","3","24","2021-10-17 10:50:01"
"689","2","28","2021-10-17 10:50:01"
"690","23","1","2021-10-17 10:50:01"
"691","12","12","2021-10-17 10:50:01"
"692","9","13","2021-10-17 10:50:01"
"693","17","1","2021-10-17 10:50:01"
"694","13","7","2021-10-17 10:50:01"
"695","13","6","2021-10-17 10:50:01"
"696","8","12","2021-10-17 10:50:01"
"697","13","12","2021-10-17 10:50:01"
"698","29","6","2021-10-17 10:50:01"
"699","7","32","2021-10-17 10:50:01"
"700","3","22","2021-10-17 10:50:01"
"701","14","16","2021-10-17 10:50:01"
"702","11","13","2021-10-17 10:50:01"
"703","5","20","2021-10-17 10:50:01"
"704","6","11","2021-10-17 10:50:01"
"705","5","20","2021-10-17 10:50:01"
"706","31","0","2021-10-17 10:50:01"
"707","10","20","2021-10-17 10:50:01"
"708","14","19","2021-10-17 10:50:01"
"709","22","1","2021-10-17 10:50:01"
"710","0","20","2021-10-17 10:50:01"
"711","9","22","2021-10-17 10:50:01"
"712","13","9","2021-10-17 10:50:01"
"713","5","17","2021-10-17 10:50:01"
"714","16","12","2021-10-17 10:50:01"
"715","9","13","2021-10-17 10:50:01"
